pixel,row,col,x_um,y_um,dV_pos_d1_V,dV_neg_d1_V,deltaNu_pos_d1_MHz,deltaNu_neg_d1_MHz,dV_pos_d2_V,dV_neg_d2_V,deltaNu_pos_d2_MHz,deltaNu_neg_d2_MHz,dV_pos_d3_V,dV_neg_d3_V,deltaNu_pos_d3_MHz,deltaNu_neg_d3_MHz,dV_pos_d4_V,dV_neg_d4_V,deltaNu_pos_d4_MHz,deltaNu_neg_d4_MHz,Bx_pos_nT,Bx_neg_nT,Bx_odd_nT,Bx_even_nT,By_pos_nT,By_neg_nT,By_odd_nT,By_even_nT,Bz_pos_nT,Bz_neg_nT,Bz_odd_nT,Bz_even_nT
960,0,0,-100.0,-100.0,-0.00014887343096080577,5.283590700825274e-05,0.024820511997432022,-0.008808920808299224,0.00030261850585282306,-0.0005116075148906599,-0.04412956702194156,0.07460554354952952,-4.597814463020009e-05,7.734322552399832e-05,0.017310117378068417,-0.02911862414168498,6.76659418858911e-05,-4.381550653526587e-05,-0.0350600735159894,0.02270233499235515,469.14930856721276,-43.12485454301245,256.1370815551126,213.01222701210014,428.76497247644426,-1474.1384208646193,951.4516966705318,-522.6867241940876,-1841.5963550200488,2053.942028028794,-1947.7691915244213,106.17283650437264
899,0,1,-93.33333333333333,-100.0,0.0007240456521085478,-0.0012240366144422267,-0.12071451352242978,0.20407412711579065,-4.73617641759483e-05,4.579404514998843e-05,0.006906564225442275,-0.0066779504411242875,0.00017861199973935393,-0.00020729128619572707,-0.0672448770059534,0.07804222037141374,-4.4745953421205523e-05,3.8892393123286555e-05,0.023184431824448008,-0.020151499027600217,1236.4349435666666,-1716.006783165256,1476.2208633659611,-239.78591979929467,2635.231773892515,-4559.213813190786,3597.2227935416504,-961.9910196491355,3269.190604359794,-4672.657685298716,3970.924144829255,-701.7335404694611
898,0,2,-86.66666666666667,-100.0,0.0006376348676974658,-0.0010795005391726557,-0.10630791392073571,0.17997674877811667,-5.943740516421568e-05,4.206504163688477e-05,0.008667503487312201,-0.006134165750915697,0.00014739599549922532,-0.0001791971004033381,-0.05549249548171102,0.06746515908242717,-4.0761781411162e-05,5.2345281635961366e-05,0.021120093995410875,-0.027121907583387023,980.3351767389404,-1272.2244243828723,1126.2798005609063,-145.94462382196593,2260.7407404563514,-4011.7723404504222,3136.256540453387,-875.5157999970354,2878.517953442041,-4243.83988417138,3561.1789188067105,-682.6609653646694
837,0,3,-80.0,-100.0,0.0006635648410893903,-0.0010987513910270144,-0.1106310171871392,0.18318629393555777,-5.033969317471226e-05,5.1396412152446456e-05,0.007340822920121873,-0.007494919745165212,0.00014993729646992787,-0.00019233135374290965,-0.05644925914517921,0.07241001861971123,-5.0640568004695066e-05,3.987726896360996e-05,0.026238636271850493,-0.020661797390461846,900.0331199997524,-1532.2648259489433,1216.148972974348,-316.11585297459544,2388.605101936791,-4058.8837855156585,3223.7444437262247,-835.1393417894337,3013.8964544924256,-4288.705959133825,3651.301206813125,-637.4047523206996
836,0,4,-73.33333333333333,-100.0,0.0006869424729524927,-0.0010764213389641243,-0.11452858835470667,0.17946337761964268,-6.75001031646758e-05,5.883817456447427e-05,0.009843252375458593,-0.008580120242727193,0.0001382422224400607,-0.0001744734288135595,-0.05204623014454336,0.06568676392681215,-6.111113412916531e-05,5.110187970017281e-05,0.03166380006691027,-0.026477657875724862,678.2355543910453,-1237.8024660810547,958.01901023605,-279.7834558450047,2418.1472121059405,-3944.362872785842,3181.2550424458914,-763.1078303399506,3133.265068654059,-4240.26058925435,3686.7628289542045,-553.4977603001453
775,0,5,-66.66666666666666,-100.0,0.0008229726417953865,-0.0015520457496877931,-0.13720784291334343,0.258760545129313,-7.128942106459325e-05,6.356112549996621e-05,0.010395832455650969,-0.009268848049580149,0.0002292763182226533,-0.00030661826608072417,-0.08631927217521182,0.11543741529385092,-7.877095837748887e-05,5.5845006976080905e-05,0.040813968071218724,-0.02893523677515796,1300.333971787073,-2474.7447396734824,1887.5393557302777,-587.2053839432047,2937.3007107896906,-5768.532659457486,4352.916685123589,-1415.6159743338978,4106.526864814302,-6215.94069191989,5161.2337783670955,-1054.706913552794
774,0,6,-60.0,-100.0,0.0008969135837880407,-0.00148172972081202,-0.1495354424452792,0.24703729923473572,-7.333062281555875e-05,6.711293986010531e-05,0.010693492207888147,-0.009786794000749053,0.00020464945987655283,-0.00025618928428367525,-0.07704761034429797,0.09645162103911668,-8.657101337778775e-05,6.827303289629028e-05,0.0448554473459831,-0.03537462844365723,1021.1940353117375,-1871.767820666643,1446.4809279891901,-425.2868926774528,3208.483397529528,-5477.952472438628,4343.217934984078,-1134.7345374545503,4234.843214371729,-5872.7262674024405,5053.784740887085,-818.9415265153557
713,0,7,-53.33333333333333,-100.0,0.0009299045099639911,-0.001965430982834079,-0.155035763581642,0.3276810574910514,-5.773761332970914e-05,3.729042190755829e-05,0.008419630088186086,-0.005437903304057702,0.0002847325286231685,-0.00039169651628729685,-0.10719774648287766,0.14746816619172676,-9.35146930616177e-05,7.905147566158495e-05,0.04845320884019383,-0.04095931381427362,1647.7408397454417,-3085.055791602673,2366.3983156740574,-718.6574759286156,3397.098102882083,-7446.03976032138,5421.5689316017315,-2024.4708287196484,4756.054948737132,-7853.620927877898,6304.837938307515,-1548.782989570383
712,0,8,-46.666666666666664,-100.0,0.0009954588746937268,-0.0019467220907043862,-0.1659651341601088,0.3245618690733011,-4.179022553792931e-05,2.7795649684678862e-05,0.006094090490404492,-0.004053321135208433,0.0002544873981048065,-0.00031740290350364754,-0.09581088510343955,0.11949767786364789,-0.00010225350645812068,8.435911461456648e-05,0.05298109142905337,-0.043709385810635826,1314.257318206798,-2381.6610539347053,1847.9591860707515,-533.7018678639537,3694.268428494236,-7393.350771967509,5543.809600230872,-1849.5411717366364,4798.9705776887795,-7435.745143650032,6117.357860669406,-1318.3872829806264
651,0,9,-40.0,-100.0,0.001087362752519144,-0.002705625215547546,-0.18128755460447166,0.45108789855681175,5.640498617812356e-06,-5.6373657279345924e-05,-0.0008225298750003629,0.008220730190211044,0.0003271075029591971,-0.00043482622781285487,-0.12315132150311657,0.16370588902709446,-0.00013897369781125515,9.895556018649516e-05,0.07200709731149758,-0.051272310977434725,1564.1034532775263,-3508.4310386524958,2536.267245965011,-972.1637926874847,4206.827481013187,-10589.773562566017,7398.3005217896025,-3191.473040776415,5589.002501176631,-9943.015154852681,7766.008828014656,-2177.006326838025
