Frequency	Pixel(95-95)
2720000000.000000	1.478356
2720500000.000000	1.478082
2721000000.000000	1.477980
2721500000.000000	1.477574
2722000000.000000	1.477711
2722500000.000000	1.477939
2723000000.000000	1.478841
2723500000.000000	1.478252
2724000000.000000	1.477752
2724500000.000000	1.476944
2725000000.000000	1.477204
2725500000.000000	1.478167
2726000000.000000	1.479175
2726500000.000000	1.478213
2727000000.000000	1.478136
2727500000.000000	1.477733
2728000000.000000	1.475944
2728500000.000000	1.477889
2729000000.000000	1.478448
2729500000.000000	1.478228
2730000000.000000	1.477024
2730500000.000000	1.477400
2731000000.000000	1.477174
2731500000.000000	1.477822
2732000000.000000	1.477674
2732500000.000000	1.478120
2733000000.000000	1.477383
2733500000.000000	1.477132
2734000000.000000	1.477008
2734500000.000000	1.477752
2735000000.000000	1.478026
2735500000.000000	1.476694
2736000000.000000	1.476276
2736500000.000000	1.476379
2737000000.000000	1.476707
2737500000.000000	1.477092
2738000000.000000	1.478114
2738500000.000000	1.477448
2739000000.000000	1.477739
2739500000.000000	1.477850
2740000000.000000	1.476413
2740500000.000000	1.477172
2741000000.000000	1.475907
2741500000.000000	1.476264
2742000000.000000	1.478260
2742500000.000000	1.478217
2743000000.000000	1.477210
2743500000.000000	1.477770
2744000000.000000	1.478136
2744500000.000000	1.478023
2745000000.000000	1.477851
2745500000.000000	1.478909
2746000000.000000	1.478973
2746500000.000000	1.478421
2747000000.000000	1.478017
2747500000.000000	1.478405
2748000000.000000	1.477907
2748500000.000000	1.477667
2749000000.000000	1.477308
2749500000.000000	1.477910
2750000000.000000	1.478836
2750500000.000000	1.478171
2751000000.000000	1.477706
2751500000.000000	1.478803
2752000000.000000	1.478861
2752500000.000000	1.478239
2753000000.000000	1.477636
2753500000.000000	1.477253
2754000000.000000	1.477167
2754500000.000000	1.477638
2755000000.000000	1.477877
2755500000.000000	1.477897
2756000000.000000	1.478318
2756500000.000000	1.478621
2757000000.000000	1.477984
2757500000.000000	1.477976
2758000000.000000	1.478422
2758500000.000000	1.478003
2759000000.000000	1.477303
2759500000.000000	1.478280
2760000000.000000	1.479277
2760500000.000000	1.478676
2761000000.000000	1.478259
2761500000.000000	1.477328
2762000000.000000	1.478700
2762500000.000000	1.478571
2763000000.000000	1.479740
2763500000.000000	1.478902
2764000000.000000	1.478646
2764500000.000000	1.479095
2765000000.000000	1.478699
2765500000.000000	1.478704
2766000000.000000	1.478684
2766500000.000000	1.478391
2767000000.000000	1.477818
2767500000.000000	1.479677
2768000000.000000	1.479575
2768500000.000000	1.478781
2769000000.000000	1.478174
2769500000.000000	1.478593
2770000000.000000	1.478356
2770500000.000000	1.478134
2771000000.000000	1.478983
2771500000.000000	1.478880
2772000000.000000	1.478638
2772500000.000000	1.478542
2773000000.000000	1.478579
2773500000.000000	1.477764
2774000000.000000	1.476682
2774500000.000000	1.477391
2775000000.000000	1.477267
2775500000.000000	1.477896
2776000000.000000	1.477798
2776500000.000000	1.477961
2777000000.000000	1.477415
2777500000.000000	1.477955
2778000000.000000	1.478050
2778500000.000000	1.477692
2779000000.000000	1.477688
2779500000.000000	1.478759
2780000000.000000	1.477801
2780500000.000000	1.478211
2781000000.000000	1.478581
2781500000.000000	1.478661
2782000000.000000	1.477601
2782500000.000000	1.477851
2783000000.000000	1.478119
2783500000.000000	1.478031
2784000000.000000	1.478154
2784500000.000000	1.478606
2785000000.000000	1.477743
2785500000.000000	1.477246
2786000000.000000	1.478227
2786500000.000000	1.476652
2787000000.000000	1.476713
2787500000.000000	1.477803
2788000000.000000	1.478788
2788500000.000000	1.478372
2789000000.000000	1.477989
2789500000.000000	1.478392
2790000000.000000	1.478408
2790500000.000000	1.478179
2791000000.000000	1.477818
2791500000.000000	1.478123
2792000000.000000	1.478250
2792500000.000000	1.479157
2793000000.000000	1.479078
2793500000.000000	1.478390
2794000000.000000	1.478963
2794500000.000000	1.478340
2795000000.000000	1.478402
2795500000.000000	1.478337
2796000000.000000	1.478369
2796500000.000000	1.477605
2797000000.000000	1.478701
2797500000.000000	1.478148
2798000000.000000	1.477597
2798500000.000000	1.477266
2799000000.000000	1.476506
2799500000.000000	1.477525
2800000000.000000	1.476592
2800500000.000000	1.478375
2801000000.000000	1.478519
2801500000.000000	1.476800
2802000000.000000	1.477669
2802500000.000000	1.477615
2803000000.000000	1.477384
2803500000.000000	1.477138
2804000000.000000	1.477970
2804500000.000000	1.477775
2805000000.000000	1.476758
2805500000.000000	1.475446
2806000000.000000	1.472929
2806500000.000000	1.472730
2807000000.000000	1.474990
2807500000.000000	1.475299
2808000000.000000	1.473731
2808500000.000000	1.471485
2809000000.000000	1.474362
2809500000.000000	1.475698
2810000000.000000	1.474096
2810500000.000000	1.471277
2811000000.000000	1.473038
2811500000.000000	1.474889
2812000000.000000	1.475752
2812500000.000000	1.476312
2813000000.000000	1.477051
2813500000.000000	1.476470
2814000000.000000	1.476670
2814500000.000000	1.475824
2815000000.000000	1.476335
2815500000.000000	1.475380
2816000000.000000	1.473407
2816500000.000000	1.470549
2817000000.000000	1.463174
2817500000.000000	1.464196
2818000000.000000	1.470013
2818500000.000000	1.469677
2819000000.000000	1.464248
2819500000.000000	1.461025
2820000000.000000	1.465955
2820500000.000000	1.467644
2821000000.000000	1.465041
2821500000.000000	1.459857
2822000000.000000	1.464155
2822500000.000000	1.468906
2823000000.000000	1.472816
2823500000.000000	1.474954
2824000000.000000	1.473907
2824500000.000000	1.474527
2825000000.000000	1.475724
2825500000.000000	1.475685
2826000000.000000	1.476423
2826500000.000000	1.477782
2827000000.000000	1.477916
2827500000.000000	1.476708
2828000000.000000	1.476352
2828500000.000000	1.477322
2829000000.000000	1.477088
2829500000.000000	1.477448
2830000000.000000	1.476791
2830500000.000000	1.476581
2831000000.000000	1.476157
2831500000.000000	1.476051
2832000000.000000	1.475343
2832500000.000000	1.472180
2833000000.000000	1.471098
2833500000.000000	1.473303
2834000000.000000	1.473669
2834500000.000000	1.472482
2835000000.000000	1.469428
2835500000.000000	1.471046
2836000000.000000	1.473478
2836500000.000000	1.472374
2837000000.000000	1.470325
2837500000.000000	1.470968
2838000000.000000	1.473358
2838500000.000000	1.473225
2839000000.000000	1.475109
2839500000.000000	1.476380
2840000000.000000	1.476251
2840500000.000000	1.476698
2841000000.000000	1.476774
2841500000.000000	1.475673
2842000000.000000	1.474927
2842500000.000000	1.473307
2843000000.000000	1.468604
2843500000.000000	1.464909
2844000000.000000	1.468290
2844500000.000000	1.470323
2845000000.000000	1.469084
2845500000.000000	1.462101
2846000000.000000	1.466317
2846500000.000000	1.470387
2847000000.000000	1.470003
2847500000.000000	1.465310
2848000000.000000	1.464019
2848500000.000000	1.469500
2849000000.000000	1.471872
2849500000.000000	1.472391
2850000000.000000	1.474305
2850500000.000000	1.474436
2851000000.000000	1.474808
2851500000.000000	1.476681
2852000000.000000	1.477039
2852500000.000000	1.476535
2853000000.000000	1.477015
2853500000.000000	1.477382
2854000000.000000	1.477964
2854500000.000000	1.477500
2855000000.000000	1.476897
2855500000.000000	1.477324
2856000000.000000	1.477862
2856500000.000000	1.478287
2857000000.000000	1.478139
2857500000.000000	1.477463
2858000000.000000	1.477931
2858500000.000000	1.476383
2859000000.000000	1.477432
2859500000.000000	1.476952
2860000000.000000	1.477109
2860500000.000000	1.476178
2861000000.000000	1.477652
2861500000.000000	1.477207
2862000000.000000	1.478436
2862500000.000000	1.477583
2863000000.000000	1.477300
2863500000.000000	1.477704
2864000000.000000	1.477173
2864500000.000000	1.476945
2865000000.000000	1.477095
2865500000.000000	1.477282
2866000000.000000	1.477766
2866500000.000000	1.477001
2867000000.000000	1.477504
2867500000.000000	1.478431
2868000000.000000	1.477400
2868500000.000000	1.478710
2869000000.000000	1.478937
2869500000.000000	1.479015
2870000000.000000	1.479331
2870500000.000000	1.478415
2871000000.000000	1.478518
2871500000.000000	1.478019
2872000000.000000	1.478803
2872500000.000000	1.479207
2873000000.000000	1.479010
2873500000.000000	1.478850
2874000000.000000	1.478550
2874500000.000000	1.478463
2875000000.000000	1.477411
2875500000.000000	1.478793
2876000000.000000	1.478926
2876500000.000000	1.479115
2877000000.000000	1.479216
2877500000.000000	1.478862
2878000000.000000	1.478275
2878500000.000000	1.478381
2879000000.000000	1.477699
2879500000.000000	1.477416
2880000000.000000	1.477965
2880500000.000000	1.478462
2881000000.000000	1.477744
