Frequency	Pixel(95-95)
2720000000.000000	1.481698
2720500000.000000	1.481590
2721000000.000000	1.481075
2721500000.000000	1.478927
2722000000.000000	1.478127
2722500000.000000	1.478191
2723000000.000000	1.479550
2723500000.000000	1.479297
2724000000.000000	1.479752
2724500000.000000	1.479779
2725000000.000000	1.480033
2725500000.000000	1.480424
2726000000.000000	1.479814
2726500000.000000	1.480485
2727000000.000000	1.480379
2727500000.000000	1.479995
2728000000.000000	1.479332
2728500000.000000	1.479075
2729000000.000000	1.480500
2729500000.000000	1.478834
2730000000.000000	1.480521
2730500000.000000	1.478311
2731000000.000000	1.479101
2731500000.000000	1.479994
2732000000.000000	1.481249
2732500000.000000	1.478769
2733000000.000000	1.478688
2733500000.000000	1.478995
2734000000.000000	1.480856
2734500000.000000	1.481484
2735000000.000000	1.479887
2735500000.000000	1.481087
2736000000.000000	1.479997
2736500000.000000	1.479803
2737000000.000000	1.479758
2737500000.000000	1.480125
2738000000.000000	1.480660
2738500000.000000	1.480486
2739000000.000000	1.479829
2739500000.000000	1.480406
2740000000.000000	1.479867
2740500000.000000	1.479681
2741000000.000000	1.479311
2741500000.000000	1.479989
2742000000.000000	1.480170
2742500000.000000	1.480297
2743000000.000000	1.480910
2743500000.000000	1.480699
2744000000.000000	1.480238
2744500000.000000	1.481010
2745000000.000000	1.480133
2745500000.000000	1.479949
2746000000.000000	1.479752
2746500000.000000	1.479183
2747000000.000000	1.478997
2747500000.000000	1.479367
2748000000.000000	1.480200
2748500000.000000	1.480504
2749000000.000000	1.480729
2749500000.000000	1.480841
2750000000.000000	1.480971
2750500000.000000	1.481390
2751000000.000000	1.480314
2751500000.000000	1.480540
2752000000.000000	1.479598
2752500000.000000	1.480914
2753000000.000000	1.479351
2753500000.000000	1.480918
2754000000.000000	1.480810
2754500000.000000	1.479800
2755000000.000000	1.480418
2755500000.000000	1.481032
2756000000.000000	1.480685
2756500000.000000	1.481310
2757000000.000000	1.481100
2757500000.000000	1.481182
2758000000.000000	1.480527
2758500000.000000	1.479447
2759000000.000000	1.479550
2759500000.000000	1.479500
2760000000.000000	1.480289
2760500000.000000	1.480831
2761000000.000000	1.481562
2761500000.000000	1.481671
2762000000.000000	1.480793
2762500000.000000	1.481246
2763000000.000000	1.481149
2763500000.000000	1.480471
2764000000.000000	1.479641
2764500000.000000	1.479732
2765000000.000000	1.479963
2765500000.000000	1.480303
2766000000.000000	1.480705
2766500000.000000	1.481555
2767000000.000000	1.481079
2767500000.000000	1.480696
2768000000.000000	1.481226
2768500000.000000	1.480786
2769000000.000000	1.481050
2769500000.000000	1.481121
2770000000.000000	1.481293
2770500000.000000	1.480720
2771000000.000000	1.479551
2771500000.000000	1.479851
2772000000.000000	1.479608
2772500000.000000	1.478873
2773000000.000000	1.479947
2773500000.000000	1.479885
2774000000.000000	1.479631
2774500000.000000	1.479525
2775000000.000000	1.479581
2775500000.000000	1.479248
2776000000.000000	1.479755
2776500000.000000	1.479003
2777000000.000000	1.479790
2777500000.000000	1.479198
2778000000.000000	1.480341
2778500000.000000	1.479765
2779000000.000000	1.479973
2779500000.000000	1.479600
2780000000.000000	1.479703
2780500000.000000	1.480839
2781000000.000000	1.479789
2781500000.000000	1.479966
2782000000.000000	1.480210
2782500000.000000	1.480745
2783000000.000000	1.479961
2783500000.000000	1.479674
2784000000.000000	1.479703
2784500000.000000	1.479411
2785000000.000000	1.480287
2785500000.000000	1.480329
2786000000.000000	1.479600
2786500000.000000	1.480083
2787000000.000000	1.479979
2787500000.000000	1.478082
2788000000.000000	1.479307
2788500000.000000	1.480416
2789000000.000000	1.480861
2789500000.000000	1.480754
2790000000.000000	1.480137
2790500000.000000	1.480309
2791000000.000000	1.479218
2791500000.000000	1.479049
2792000000.000000	1.480253
2792500000.000000	1.479425
2793000000.000000	1.480581
2793500000.000000	1.480367
2794000000.000000	1.481015
2794500000.000000	1.480392
2795000000.000000	1.480652
2795500000.000000	1.480447
2796000000.000000	1.479693
2796500000.000000	1.480786
2797000000.000000	1.479859
2797500000.000000	1.480308
2798000000.000000	1.480434
2798500000.000000	1.480437
2799000000.000000	1.480196
2799500000.000000	1.480506
2800000000.000000	1.480388
2800500000.000000	1.480861
2801000000.000000	1.480970
2801500000.000000	1.481079
2802000000.000000	1.480479
2802500000.000000	1.481247
2803000000.000000	1.480897
2803500000.000000	1.479746
2804000000.000000	1.480628
2804500000.000000	1.479855
2805000000.000000	1.479690
2805500000.000000	1.479764
2806000000.000000	1.480202
2806500000.000000	1.480044
2807000000.000000	1.479850
2807500000.000000	1.478535
2808000000.000000	1.477500
2808500000.000000	1.473952
2809000000.000000	1.474711
2809500000.000000	1.476686
2810000000.000000	1.475471
2810500000.000000	1.474399
2811000000.000000	1.474704
2811500000.000000	1.477582
2812000000.000000	1.476398
2812500000.000000	1.474572
2813000000.000000	1.471707
2813500000.000000	1.474488
2814000000.000000	1.475736
2814500000.000000	1.477266
2815000000.000000	1.477810
2815500000.000000	1.477806
2816000000.000000	1.477748
2816500000.000000	1.476483
2817000000.000000	1.472538
2817500000.000000	1.465939
2818000000.000000	1.464367
2818500000.000000	1.470160
2819000000.000000	1.471603
2819500000.000000	1.468101
2820000000.000000	1.463897
2820500000.000000	1.468506
2821000000.000000	1.470540
2821500000.000000	1.467507
2822000000.000000	1.462389
2822500000.000000	1.466453
2823000000.000000	1.470708
2823500000.000000	1.473818
2824000000.000000	1.475668
2824500000.000000	1.475752
2825000000.000000	1.476707
2825500000.000000	1.477692
2826000000.000000	1.478059
2826500000.000000	1.477811
2827000000.000000	1.477219
2827500000.000000	1.477742
2828000000.000000	1.478918
2828500000.000000	1.479921
2829000000.000000	1.479693
2829500000.000000	1.478990
2830000000.000000	1.478846
2830500000.000000	1.478823
2831000000.000000	1.478927
2831500000.000000	1.478674
2832000000.000000	1.476870
2832500000.000000	1.473312
2833000000.000000	1.472663
2833500000.000000	1.474232
2834000000.000000	1.474424
2834500000.000000	1.471051
2835000000.000000	1.470077
2835500000.000000	1.473258
2836000000.000000	1.474370
2836500000.000000	1.474493
2837000000.000000	1.471743
2837500000.000000	1.473308
2838000000.000000	1.474171
2838500000.000000	1.475668
2839000000.000000	1.475771
2839500000.000000	1.474210
2840000000.000000	1.475506
2840500000.000000	1.474314
2841000000.000000	1.472143
2841500000.000000	1.466378
2842000000.000000	1.467590
2842500000.000000	1.472204
2843000000.000000	1.472178
2843500000.000000	1.467107
2844000000.000000	1.464964
2844500000.000000	1.469797
2845000000.000000	1.470693
2845500000.000000	1.468144
2846000000.000000	1.465076
2846500000.000000	1.470410
2847000000.000000	1.474651
2847500000.000000	1.475719
2848000000.000000	1.476182
