Frequency	Pixel(95-95)
2720000000.000000	1.486862
2720500000.000000	1.484979
2721000000.000000	1.486882
2721500000.000000	1.484977
2722000000.000000	1.485971
2722500000.000000	1.485261
2723000000.000000	1.484444
2723500000.000000	1.482815
2724000000.000000	1.483880
2724500000.000000	1.483332
2725000000.000000	1.485660
2725500000.000000	1.487383
2726000000.000000	1.486483
2726500000.000000	1.486074
2727000000.000000	1.487208
2727500000.000000	1.487381
2728000000.000000	1.486593
2728500000.000000	1.487066
2729000000.000000	1.486103
2729500000.000000	1.485456
2730000000.000000	1.485385
2730500000.000000	1.485266
2731000000.000000	1.486532
2731500000.000000	1.487663
2732000000.000000	1.486578
2732500000.000000	1.485922
2733000000.000000	1.486705
2733500000.000000	1.487180
2734000000.000000	1.487684
2734500000.000000	1.487119
2735000000.000000	1.487343
2735500000.000000	1.485979
2736000000.000000	1.486371
2736500000.000000	1.485687
2737000000.000000	1.486567
2737500000.000000	1.484859
2738000000.000000	1.483312
2738500000.000000	1.485022
2739000000.000000	1.485375
2739500000.000000	1.486035
2740000000.000000	1.483702
2740500000.000000	1.484106
2741000000.000000	1.483485
2741500000.000000	1.485247
2742000000.000000	1.484061
2742500000.000000	1.485911
2743000000.000000	1.482448
2743500000.000000	1.483265
2744000000.000000	1.485349
2744500000.000000	1.486105
2745000000.000000	1.486300
2745500000.000000	1.485790
2746000000.000000	1.486744
2746500000.000000	1.486640
2747000000.000000	1.486702
2747500000.000000	1.486742
2748000000.000000	1.486334
2748500000.000000	1.486139
2749000000.000000	1.485570
2749500000.000000	1.484508
2750000000.000000	1.485216
2750500000.000000	1.485442
2751000000.000000	1.487104
2751500000.000000	1.486569
2752000000.000000	1.485275
2752500000.000000	1.486119
2753000000.000000	1.486708
2753500000.000000	1.487068
2754000000.000000	1.487004
2754500000.000000	1.487278
2755000000.000000	1.488175
2755500000.000000	1.486214
2756000000.000000	1.485263
2756500000.000000	1.483249
2757000000.000000	1.486380
2757500000.000000	1.486443
2758000000.000000	1.484968
2758500000.000000	1.484804
2759000000.000000	1.485609
2759500000.000000	1.485806
2760000000.000000	1.485848
2760500000.000000	1.486449
2761000000.000000	1.485584
2761500000.000000	1.483856
2762000000.000000	1.485405
2762500000.000000	1.487242
2763000000.000000	1.485154
2763500000.000000	1.488079
2764000000.000000	1.486010
2764500000.000000	1.486951
2765000000.000000	1.485965
2765500000.000000	1.486640
2766000000.000000	1.486865
2766500000.000000	1.486795
2767000000.000000	1.486771
2767500000.000000	1.486272
2768000000.000000	1.486830
2768500000.000000	1.486420
2769000000.000000	1.485531
2769500000.000000	1.485995
2770000000.000000	1.484897
2770500000.000000	1.484856
2771000000.000000	1.485557
2771500000.000000	1.486374
2772000000.000000	1.486552
2772500000.000000	1.485266
2773000000.000000	1.486294
2773500000.000000	1.486378
2774000000.000000	1.486807
2774500000.000000	1.486830
2775000000.000000	1.487164
2775500000.000000	1.486293
2776000000.000000	1.484476
2776500000.000000	1.486511
2777000000.000000	1.485933
2777500000.000000	1.485519
2778000000.000000	1.486571
2778500000.000000	1.486601
2779000000.000000	1.487314
2779500000.000000	1.487214
2780000000.000000	1.486145
2780500000.000000	1.485523
2781000000.000000	1.486574
2781500000.000000	1.485324
2782000000.000000	1.486984
2782500000.000000	1.486528
2783000000.000000	1.487483
2783500000.000000	1.486405
2784000000.000000	1.487266
2784500000.000000	1.487699
2785000000.000000	1.486691
2785500000.000000	1.487168
2786000000.000000	1.486739
2786500000.000000	1.486670
2787000000.000000	1.485714
2787500000.000000	1.486310
2788000000.000000	1.485665
2788500000.000000	1.486267
2789000000.000000	1.485926
2789500000.000000	1.486460
2790000000.000000	1.485544
2790500000.000000	1.483188
2791000000.000000	1.485969
2791500000.000000	1.485401
2792000000.000000	1.484800
2792500000.000000	1.485224
2793000000.000000	1.486201
2793500000.000000	1.485872
2794000000.000000	1.484432
2794500000.000000	1.485182
2795000000.000000	1.484964
2795500000.000000	1.486353
2796000000.000000	1.484436
2796500000.000000	1.485026
2797000000.000000	1.484434
2797500000.000000	1.484021
2798000000.000000	1.484612
2798500000.000000	1.485670
2799000000.000000	1.485981
2799500000.000000	1.484581
2800000000.000000	1.485317
2800500000.000000	1.486254
2801000000.000000	1.487255
2801500000.000000	1.487028
2802000000.000000	1.485575
2802500000.000000	1.486434
2803000000.000000	1.488231
2803500000.000000	1.487297
2804000000.000000	1.486903
2804500000.000000	1.487752
2805000000.000000	1.487075
2805500000.000000	1.486741
2806000000.000000	1.486126
2806500000.000000	1.484402
2807000000.000000	1.481450
2807500000.000000	1.479636
2808000000.000000	1.483753
2808500000.000000	1.483640
2809000000.000000	1.481835
2809500000.000000	1.479170
2810000000.000000	1.479877
2810500000.000000	1.480727
2811000000.000000	1.482654
2811500000.000000	1.479204
2812000000.000000	1.478458
2812500000.000000	1.482277
2813000000.000000	1.480121
2813500000.000000	1.482892
2814000000.000000	1.484906
2814500000.000000	1.485301
2815000000.000000	1.484901
2815500000.000000	1.485301
2816000000.000000	1.482823
2816500000.000000	1.480984
2817000000.000000	1.480348
2817500000.000000	1.474529
2818000000.000000	1.470303
2818500000.000000	1.475914
2819000000.000000	1.477707
2819500000.000000	1.475285
2820000000.000000	1.469753
2820500000.000000	1.472286
2821000000.000000	1.475698
2821500000.000000	1.471791
2822000000.000000	1.468798
2822500000.000000	1.470158
2823000000.000000	1.476384
2823500000.000000	1.478530
2824000000.000000	1.481220
2824500000.000000	1.483076
2825000000.000000	1.483933
2825500000.000000	1.486327
2826000000.000000	1.485193
2826500000.000000	1.484572
2827000000.000000	1.484152
2827500000.000000	1.486664
2828000000.000000	1.487004
2828500000.000000	1.486138
2829000000.000000	1.483981
2829500000.000000	1.484648
2830000000.000000	1.486877
2830500000.000000	1.486127
2831000000.000000	1.480835
2831500000.000000	1.480214
2832000000.000000	1.482880
2832500000.000000	1.484374
2833000000.000000	1.482417
2833500000.000000	1.479364
2834000000.000000	1.477526
2834500000.000000	1.482873
2835000000.000000	1.482289
2835500000.000000	1.480246
2836000000.000000	1.480575
2836500000.000000	1.481248
2837000000.000000	1.483375
2837500000.000000	1.484976
2838000000.000000	1.485706
2838500000.000000	1.485854
2839000000.000000	1.486917
2839500000.000000	1.485622
2840000000.000000	1.484735
2840500000.000000	1.484056
2841000000.000000	1.480913
2841500000.000000	1.474521
2842000000.000000	1.472596
2842500000.000000	1.479532
2843000000.000000	1.478174
2843500000.000000	1.475586
2844000000.000000	1.472934
2844500000.000000	1.478701
2845000000.000000	1.480106
2845500000.000000	1.478097
2846000000.000000	1.471829
2846500000.000000	1.475793
2847000000.000000	1.481053
2847500000.000000	1.484078
2848000000.000000	1.484568
2848500000.000000	1.483870
2849000000.000000	1.486087
2849500000.000000	1.487769
2850000000.000000	1.484280
2850500000.000000	1.486329
2851000000.000000	1.487420
2851500000.000000	1.485407
2852000000.000000	1.487125
2852500000.000000	1.485906
2853000000.000000	1.485074
2853500000.000000	1.485416
2854000000.000000	1.485761
2854500000.000000	1.488183
2855000000.000000	1.486901
2855500000.000000	1.489750
2856000000.000000	1.486681
2856500000.000000	1.485404
2857000000.000000	1.485545
2857500000.000000	1.485687
2858000000.000000	1.485263
2858500000.000000	1.485928
2859000000.000000	1.487523
2859500000.000000	1.486039
2860000000.000000	1.486698
2860500000.000000	1.487397
2861000000.000000	1.488522
2861500000.000000	1.488218
2862000000.000000	1.487778
2862500000.000000	1.488807
2863000000.000000	1.487186
2863500000.000000	1.488292
2864000000.000000	1.487487
2864500000.000000	1.486763
2865000000.000000	1.486473
2865500000.000000	1.484669
2866000000.000000	1.484687
2866500000.000000	1.485698
2867000000.000000	1.487175
2867500000.000000	1.486064
2868000000.000000	1.486974
2868500000.000000	1.487557
2869000000.000000	1.487281
2869500000.000000	1.486624
2870000000.000000	1.483670
2870500000.000000	1.484303
2871000000.000000	1.484857
2871500000.000000	1.483552
