Frequency	Pixel(95-95)
2720000000.000000	1.476164
2720500000.000000	1.477795
2721000000.000000	1.477834
2721500000.000000	1.477395
2722000000.000000	1.476491
2722500000.000000	1.478405
2723000000.000000	1.478090
2723500000.000000	1.476272
2724000000.000000	1.477618
2724500000.000000	1.477966
2725000000.000000	1.477881
2725500000.000000	1.478988
2726000000.000000	1.478853
2726500000.000000	1.477759
2727000000.000000	1.477703
2727500000.000000	1.477669
2728000000.000000	1.478178
2728500000.000000	1.477311
2729000000.000000	1.475422
2729500000.000000	1.476113
2730000000.000000	1.477644
2730500000.000000	1.477852
2731000000.000000	1.477322
2731500000.000000	1.477672
2732000000.000000	1.478894
2732500000.000000	1.478026
2733000000.000000	1.478256
2733500000.000000	1.478938
2734000000.000000	1.478011
2734500000.000000	1.478644
2735000000.000000	1.477514
2735500000.000000	1.477993
2736000000.000000	1.478613
2736500000.000000	1.478325
2737000000.000000	1.477659
2737500000.000000	1.478835
2738000000.000000	1.477317
2738500000.000000	1.477001
2739000000.000000	1.474567
2739500000.000000	1.478644
2740000000.000000	1.478191
2740500000.000000	1.476173
2741000000.000000	1.476837
2741500000.000000	1.476492
2742000000.000000	1.479434
2742500000.000000	1.478755
2743000000.000000	1.478424
2743500000.000000	1.478408
2744000000.000000	1.479694
2744500000.000000	1.478163
2745000000.000000	1.478642
2745500000.000000	1.478292
2746000000.000000	1.477919
2746500000.000000	1.477276
2747000000.000000	1.474841
2747500000.000000	1.475472
2748000000.000000	1.478479
2748500000.000000	1.477988
2749000000.000000	1.477844
2749500000.000000	1.476074
2750000000.000000	1.477471
2750500000.000000	1.476886
2751000000.000000	1.479376
2751500000.000000	1.477559
2752000000.000000	1.478581
2752500000.000000	1.478578
2753000000.000000	1.477859
2753500000.000000	1.479363
2754000000.000000	1.479979
2754500000.000000	1.479265
2755000000.000000	1.477595
2755500000.000000	1.478190
2756000000.000000	1.477229
2756500000.000000	1.477369
2757000000.000000	1.477563
2757500000.000000	1.477214
2758000000.000000	1.477390
2758500000.000000	1.478560
2759000000.000000	1.477884
2759500000.000000	1.478824
2760000000.000000	1.478391
2760500000.000000	1.475739
2761000000.000000	1.476454
2761500000.000000	1.477169
2762000000.000000	1.478014
2762500000.000000	1.478461
2763000000.000000	1.477400
