Frequency	Pixel(95-95)
2720000000.000000	1.480331
2720500000.000000	1.481135
2721000000.000000	1.477852
2721500000.000000	1.477380
2722000000.000000	1.478284
2722500000.000000	1.478530
2723000000.000000	1.479331
2723500000.000000	1.478197
2724000000.000000	1.479320
2724500000.000000	1.479899
2725000000.000000	1.480574
2725500000.000000	1.479347
2726000000.000000	1.478659
2726500000.000000	1.478617
2727000000.000000	1.478606
2727500000.000000	1.479157
2728000000.000000	1.479986
2728500000.000000	1.480506
2729000000.000000	1.478689
2729500000.000000	1.475768
2730000000.000000	1.479911
2730500000.000000	1.481177
2731000000.000000	1.482025
2731500000.000000	1.479309
2732000000.000000	1.480382
2732500000.000000	1.480196
2733000000.000000	1.479797
2733500000.000000	1.478266
2734000000.000000	1.477350
2734500000.000000	1.478262
2735000000.000000	1.478316
2735500000.000000	1.479955
2736000000.000000	1.480442
2736500000.000000	1.479821
2737000000.000000	1.480678
2737500000.000000	1.478123
2738000000.000000	1.477740
2738500000.000000	1.478146
2739000000.000000	1.478876
2739500000.000000	1.478067
2740000000.000000	1.478645
2740500000.000000	1.477046
2741000000.000000	1.478821
2741500000.000000	1.479591
2742000000.000000	1.479206
2742500000.000000	1.479621
2743000000.000000	1.479437
2743500000.000000	1.479479
2744000000.000000	1.480573
2744500000.000000	1.479357
2745000000.000000	1.478652
2745500000.000000	1.478261
2746000000.000000	1.478952
2746500000.000000	1.481547
2747000000.000000	1.479620
2747500000.000000	1.479865
2748000000.000000	1.481170
2748500000.000000	1.479904
2749000000.000000	1.480639
2749500000.000000	1.479493
2750000000.000000	1.478853
2750500000.000000	1.478212
2751000000.000000	1.479719
2751500000.000000	1.480232
2752000000.000000	1.479373
2752500000.000000	1.479218
2753000000.000000	1.478998
2753500000.000000	1.477199
2754000000.000000	1.478085
2754500000.000000	1.479646
2755000000.000000	1.479280
2755500000.000000	1.478859
2756000000.000000	1.479290
2756500000.000000	1.478476
2757000000.000000	1.476075
2757500000.000000	1.477378
2758000000.000000	1.478083
2758500000.000000	1.479934
2759000000.000000	1.479337
2759500000.000000	1.479670
2760000000.000000	1.479979
2760500000.000000	1.479204
2761000000.000000	1.481280
2761500000.000000	1.481503
2762000000.000000	1.479297
2762500000.000000	1.477179
2763000000.000000	1.477155
2763500000.000000	1.478927
2764000000.000000	1.479064
2764500000.000000	1.476631
2765000000.000000	1.479501
2765500000.000000	1.479025
2766000000.000000	1.478788
2766500000.000000	1.478954
2767000000.000000	1.479006
2767500000.000000	1.479985
2768000000.000000	1.479414
2768500000.000000	1.477908
2769000000.000000	1.478481
2769500000.000000	1.478910
2770000000.000000	1.479093
2770500000.000000	1.478641
2771000000.000000	1.478345
2771500000.000000	1.479071
2772000000.000000	1.478781
2772500000.000000	1.479886
2773000000.000000	1.479483
2773500000.000000	1.478171
2774000000.000000	1.476233
2774500000.000000	1.477643
2775000000.000000	1.477274
2775500000.000000	1.476883
2776000000.000000	1.477990
2776500000.000000	1.477073
2777000000.000000	1.478630
2777500000.000000	1.477592
2778000000.000000	1.478773
2778500000.000000	1.478711
2779000000.000000	1.478183
2779500000.000000	1.476763
2780000000.000000	1.478127
2780500000.000000	1.477697
2781000000.000000	1.475231
2781500000.000000	1.476168
2782000000.000000	1.475539
2782500000.000000	1.475065
2783000000.000000	1.475376
2783500000.000000	1.477364
2784000000.000000	1.478167
2784500000.000000	1.480270
2785000000.000000	1.478344
2785500000.000000	1.477306
2786000000.000000	1.476903
2786500000.000000	1.478378
2787000000.000000	1.477452
2787500000.000000	1.477218
2788000000.000000	1.478018
2788500000.000000	1.476648
2789000000.000000	1.477077
2789500000.000000	1.476088
2790000000.000000	1.478136
2790500000.000000	1.476998
2791000000.000000	1.476006
2791500000.000000	1.477891
2792000000.000000	1.477830
2792500000.000000	1.476271
2793000000.000000	1.476404
2793500000.000000	1.477604
2794000000.000000	1.477356
2794500000.000000	1.477482
2795000000.000000	1.478065
2795500000.000000	1.477704
2796000000.000000	1.478649
2796500000.000000	1.478490
2797000000.000000	1.478170
2797500000.000000	1.478980
2798000000.000000	1.478026
2798500000.000000	1.477929
2799000000.000000	1.477927
2799500000.000000	1.476352
2800000000.000000	1.474214
2800500000.000000	1.475414
2801000000.000000	1.477113
2801500000.000000	1.478678
2802000000.000000	1.477448
2802500000.000000	1.478429
2803000000.000000	1.476793
2803500000.000000	1.478223
2804000000.000000	1.477067
2804500000.000000	1.476442
2805000000.000000	1.474022
2805500000.000000	1.470651
2806000000.000000	1.472623
2806500000.000000	1.473574
2807000000.000000	1.473204
2807500000.000000	1.469265
2808000000.000000	1.473446
2808500000.000000	1.474399
2809000000.000000	1.473906
2809500000.000000	1.471686
2810000000.000000	1.471233
2810500000.000000	1.473250
2811000000.000000	1.474306
2811500000.000000	1.473477
2812000000.000000	1.475771
2812500000.000000	1.473747
2813000000.000000	1.473165
2813500000.000000	1.474768
2814000000.000000	1.476924
2814500000.000000	1.476262
2815000000.000000	1.475958
2815500000.000000	1.477010
2816000000.000000	1.472298
2816500000.000000	1.463595
2817000000.000000	1.464366
2817500000.000000	1.468746
2818000000.000000	1.470553
2818500000.000000	1.464102
2819000000.000000	1.460788
2819500000.000000	1.465229
2820000000.000000	1.468317
2820500000.000000	1.466753
2821000000.000000	1.460489
2821500000.000000	1.465376
2822000000.000000	1.470111
2822500000.000000	1.471716
2823000000.000000	1.472736
2823500000.000000	1.475284
2824000000.000000	1.474397
2824500000.000000	1.475896
2825000000.000000	1.476375
2825500000.000000	1.477692
2826000000.000000	1.477378
2826500000.000000	1.476616
2827000000.000000	1.475500
2827500000.000000	1.472970
2828000000.000000	1.477612
2828500000.000000	1.479060
2829000000.000000	1.477734
2829500000.000000	1.478337
2830000000.000000	1.479984
2830500000.000000	1.480152
2831000000.000000	1.479387
2831500000.000000	1.479050
2832000000.000000	1.477228
2832500000.000000	1.473066
2833000000.000000	1.471166
2833500000.000000	1.471724
2834000000.000000	1.472610
2834500000.000000	1.471741
2835000000.000000	1.469213
2835500000.000000	1.471554
2836000000.000000	1.473170
2836500000.000000	1.474431
2837000000.000000	1.470688
2837500000.000000	1.470380
2838000000.000000	1.472932
2838500000.000000	1.475149
2839000000.000000	1.475639
2839500000.000000	1.475942
2840000000.000000	1.477603
2840500000.000000	1.479630
2841000000.000000	1.477673
2841500000.000000	1.477825
2842000000.000000	1.477206
2842500000.000000	1.476308
2843000000.000000	1.474224
2843500000.000000	1.467536
2844000000.000000	1.464957
2844500000.000000	1.469641
2845000000.000000	1.471038
2845500000.000000	1.468788
2846000000.000000	1.464137
2846500000.000000	1.466326
2847000000.000000	1.471253
2847500000.000000	1.469822
2848000000.000000	1.464222
2848500000.000000	1.463176
2849000000.000000	1.470070
2849500000.000000	1.476804
2850000000.000000	1.475006
2850500000.000000	1.474875
2851000000.000000	1.473130
2851500000.000000	1.476920
2852000000.000000	1.476583
2852500000.000000	1.476844
2853000000.000000	1.476936
2853500000.000000	1.477692
2854000000.000000	1.478527
2854500000.000000	1.475589
2855000000.000000	1.474974
2855500000.000000	1.476683
2856000000.000000	1.479620
2856500000.000000	1.479929
2857000000.000000	1.479976
2857500000.000000	1.479374
2858000000.000000	1.479661
2858500000.000000	1.478394
2859000000.000000	1.476911
2859500000.000000	1.476616
2860000000.000000	1.477839
2860500000.000000	1.476773
2861000000.000000	1.477827
2861500000.000000	1.477828
2862000000.000000	1.478177
2862500000.000000	1.477566
