Frequency	Pixel(95-95)
2720000000.000000	1.479928
2720500000.000000	1.479872
2721000000.000000	1.480184
2721500000.000000	1.479688
2722000000.000000	1.479543
2722500000.000000	1.479750
2723000000.000000	1.479986
2723500000.000000	1.479818
2724000000.000000	1.479909
2724500000.000000	1.479726
2725000000.000000	1.479549
2725500000.000000	1.479705
2726000000.000000	1.480107
2726500000.000000	1.480116
2727000000.000000	1.480118
2727500000.000000	1.478869
2728000000.000000	1.480091
2728500000.000000	1.480008
2729000000.000000	1.479368
2729500000.000000	1.478973
2730000000.000000	1.479678
2730500000.000000	1.479821
2731000000.000000	1.479873
2731500000.000000	1.480292
2732000000.000000	1.480407
2732500000.000000	1.479939
2733000000.000000	1.479399
2733500000.000000	1.479626
2734000000.000000	1.479750
2734500000.000000	1.479647
2735000000.000000	1.480034
2735500000.000000	1.479961
2736000000.000000	1.479879
2736500000.000000	1.479882
2737000000.000000	1.479710
2737500000.000000	1.479753
2738000000.000000	1.479872
2738500000.000000	1.479852
2739000000.000000	1.480377
2739500000.000000	1.480075
2740000000.000000	1.479574
2740500000.000000	1.480053
2741000000.000000	1.480608
2741500000.000000	1.479158
2742000000.000000	1.479403
2742500000.000000	1.479301
2743000000.000000	1.479154
2743500000.000000	1.479543
2744000000.000000	1.479823
2744500000.000000	1.479671
2745000000.000000	1.479759
2745500000.000000	1.479480
2746000000.000000	1.479915
2746500000.000000	1.479985
2747000000.000000	1.479109
2747500000.000000	1.479823
2748000000.000000	1.479680
2748500000.000000	1.480142
2749000000.000000	1.480243
2749500000.000000	1.480145
2750000000.000000	1.479234
2750500000.000000	1.479982
2751000000.000000	1.480040
2751500000.000000	1.479841
2752000000.000000	1.479505
2752500000.000000	1.480325
2753000000.000000	1.480045
2753500000.000000	1.479802
2754000000.000000	1.479599
2754500000.000000	1.479129
2755000000.000000	1.479450
2755500000.000000	1.480118
2756000000.000000	1.480280
2756500000.000000	1.480392
2757000000.000000	1.480217
2757500000.000000	1.480393
