Frequency	Pixel(95-95)
2720000000.000000	1.491330
2720500000.000000	1.491382
2721000000.000000	1.489714
2721500000.000000	1.490475
2722000000.000000	1.489856
2722500000.000000	1.490709
2723000000.000000	1.490463
2723500000.000000	1.489357
2724000000.000000	1.489731
2724500000.000000	1.489721
2725000000.000000	1.487865
2725500000.000000	1.486941
2726000000.000000	1.487087
2726500000.000000	1.485975
2727000000.000000	1.485070
2727500000.000000	1.483622
2728000000.000000	1.483503
2728500000.000000	1.482602
2729000000.000000	1.481560
2729500000.000000	1.480783
2730000000.000000	1.480945
2730500000.000000	1.479076
2731000000.000000	1.478178
2731500000.000000	1.476670
2732000000.000000	1.476057
2732500000.000000	1.475933
2733000000.000000	1.474882
2733500000.000000	1.474088
2734000000.000000	1.474329
2734500000.000000	1.473525
2735000000.000000	1.471789
2735500000.000000	1.470792
2736000000.000000	1.470941
2736500000.000000	1.468428
2737000000.000000	1.469323
2737500000.000000	1.468137
2738000000.000000	1.467301
2738500000.000000	1.464966
2739000000.000000	1.463176
2739500000.000000	1.462592
2740000000.000000	1.462675
2740500000.000000	1.463006
2741000000.000000	1.462507
2741500000.000000	1.461085
2742000000.000000	1.461173
2742500000.000000	1.460508
2743000000.000000	1.461269
2743500000.000000	1.459600
2744000000.000000	1.459557
2744500000.000000	1.458707
2745000000.000000	1.458526
2745500000.000000	1.457351
2746000000.000000	1.456749
2746500000.000000	1.457317
2747000000.000000	1.456302
2747500000.000000	1.454993
2748000000.000000	1.455039
2748500000.000000	1.454867
2749000000.000000	1.454629
2749500000.000000	1.454603
2750000000.000000	1.455119
2750500000.000000	1.454138
2751000000.000000	1.454577
2751500000.000000	1.453308
2752000000.000000	1.452961
2752500000.000000	1.453408
2753000000.000000	1.452934
2753500000.000000	1.452174
2754000000.000000	1.453112
2754500000.000000	1.451858
2755000000.000000	1.453389
2755500000.000000	1.452057
2756000000.000000	1.452385
2756500000.000000	1.452106
2757000000.000000	1.452777
2757500000.000000	1.452592
2758000000.000000	1.451515
2758500000.000000	1.451365
2759000000.000000	1.451189
2759500000.000000	1.452523
2760000000.000000	1.452277
2760500000.000000	1.453407
2761000000.000000	1.452031
2761500000.000000	1.453110
2762000000.000000	1.452726
2762500000.000000	1.452595
2763000000.000000	1.451694
2763500000.000000	1.451413
2764000000.000000	1.453386
2764500000.000000	1.453950
2765000000.000000	1.453649
2765500000.000000	1.453552
2766000000.000000	1.453674
2766500000.000000	1.453949
2767000000.000000	1.455116
2767500000.000000	1.455067
2768000000.000000	1.455645
2768500000.000000	1.456725
2769000000.000000	1.455961
2769500000.000000	1.456229
2770000000.000000	1.456716
2770500000.000000	1.458491
2771000000.000000	1.458289
2771500000.000000	1.458389
2772000000.000000	1.458999
2772500000.000000	1.459769
2773000000.000000	1.459253
2773500000.000000	1.461737
2774000000.000000	1.461367
2774500000.000000	1.461658
2775000000.000000	1.462619
2775500000.000000	1.463095
2776000000.000000	1.463027
2776500000.000000	1.463052
2777000000.000000	1.465474
2777500000.000000	1.465832
2778000000.000000	1.465681
2778500000.000000	1.466673
2779000000.000000	1.466908
2779500000.000000	1.467203
2780000000.000000	1.468027
2780500000.000000	1.469596
2781000000.000000	1.469145
2781500000.000000	1.470557
2782000000.000000	1.470618
2782500000.000000	1.472033
2783000000.000000	1.472474
2783500000.000000	1.474961
2784000000.000000	1.473575
2784500000.000000	1.475058
2785000000.000000	1.475152
2785500000.000000	1.475293
2786000000.000000	1.475523
2786500000.000000	1.475849
2787000000.000000	1.476492
2787500000.000000	1.475742
2788000000.000000	1.478085
2788500000.000000	1.477887
2789000000.000000	1.478175
2789500000.000000	1.479388
2790000000.000000	1.480623
2790500000.000000	1.480946
2791000000.000000	1.480493
2791500000.000000	1.482062
2792000000.000000	1.482229
2792500000.000000	1.481912
2793000000.000000	1.482998
2793500000.000000	1.483670
2794000000.000000	1.483770
2794500000.000000	1.483425
2795000000.000000	1.484158
2795500000.000000	1.485495
2796000000.000000	1.485465
2796500000.000000	1.485274
2797000000.000000	1.486790
2797500000.000000	1.486046
2798000000.000000	1.485796
2798500000.000000	1.486836
2799000000.000000	1.486678
2799500000.000000	1.487263
2800000000.000000	1.486922
2800500000.000000	1.487208
2801000000.000000	1.487295
2801500000.000000	1.489639
2802000000.000000	1.489557
2802500000.000000	1.489943
2803000000.000000	1.489298
2803500000.000000	1.490974
2804000000.000000	1.490531
2804500000.000000	1.490060
2805000000.000000	1.491015
2805500000.000000	1.490846
2806000000.000000	1.490512
2806500000.000000	1.491803
2807000000.000000	1.491758
2807500000.000000	1.490520
2808000000.000000	1.487038
2808500000.000000	1.485519
2809000000.000000	1.489123
2809500000.000000	1.490238
2810000000.000000	1.488911
2810500000.000000	1.487516
2811000000.000000	1.489918
2811500000.000000	1.490903
2812000000.000000	1.491919
2812500000.000000	1.489950
2813000000.000000	1.489646
2813500000.000000	1.491312
2814000000.000000	1.493884
2814500000.000000	1.495095
2815000000.000000	1.495417
2815500000.000000	1.494712
2816000000.000000	1.495838
2816500000.000000	1.496070
2817000000.000000	1.496160
2817500000.000000	1.493635
2818000000.000000	1.490338
2818500000.000000	1.482572
2819000000.000000	1.484149
2819500000.000000	1.488684
2820000000.000000	1.488419
2820500000.000000	1.484089
2821000000.000000	1.481762
2821500000.000000	1.486181
2822000000.000000	1.489301
2822500000.000000	1.485378
2823000000.000000	1.480235
2823500000.000000	1.486168
2824000000.000000	1.489556
2824500000.000000	1.491489
2825000000.000000	1.493046
2825500000.000000	1.495061
2826000000.000000	1.494906
2826500000.000000	1.496122
2827000000.000000	1.495742
2827500000.000000	1.496209
2828000000.000000	1.495461
2828500000.000000	1.495965
2829000000.000000	1.497718
2829500000.000000	1.497361
2830000000.000000	1.497345
2830500000.000000	1.497577
2831000000.000000	1.496458
2831500000.000000	1.494502
2832000000.000000	1.490498
2832500000.000000	1.491586
2833000000.000000	1.492904
2833500000.000000	1.492491
2834000000.000000	1.490834
2834500000.000000	1.488750
2835000000.000000	1.491710
2835500000.000000	1.492177
2836000000.000000	1.490304
2836500000.000000	1.488020
2837000000.000000	1.490423
2837500000.000000	1.491998
2838000000.000000	1.492233
2838500000.000000	1.492549
2839000000.000000	1.492684
2839500000.000000	1.492208
2840000000.000000	1.492327
2840500000.000000	1.491259
2841000000.000000	1.490131
2841500000.000000	1.487423
2842000000.000000	1.480495
2842500000.000000	1.482792
2843000000.000000	1.485469
2843500000.000000	1.484872
2844000000.000000	1.480629
2844500000.000000	1.478297
2845000000.000000	1.483539
2845500000.000000	1.484177
2846000000.000000	1.480698
2846500000.000000	1.477702
2847000000.000000	1.481906
2847500000.000000	1.485363
2848000000.000000	1.486539
2848500000.000000	1.488879
2849000000.000000	1.487741
2849500000.000000	1.487534
2850000000.000000	1.488852
2850500000.000000	1.488003
2851000000.000000	1.489047
2851500000.000000	1.488797
2852000000.000000	1.488763
2852500000.000000	1.487854
2853000000.000000	1.488707
2853500000.000000	1.488587
2854000000.000000	1.488621
2854500000.000000	1.488400
2855000000.000000	1.488575
2855500000.000000	1.487206
2856000000.000000	1.486692
2856500000.000000	1.487581
2857000000.000000	1.486595
2857500000.000000	1.485958
2858000000.000000	1.485681
2858500000.000000	1.485667
2859000000.000000	1.485184
2859500000.000000	1.485614
2860000000.000000	1.485863
2860500000.000000	1.484866
2861000000.000000	1.482555
2861500000.000000	1.483034
2862000000.000000	1.483115
2862500000.000000	1.483181
2863000000.000000	1.483305
2863500000.000000	1.484519
2864000000.000000	1.483720
2864500000.000000	1.483753
2865000000.000000	1.484301
2865500000.000000	1.484230
2866000000.000000	1.483153
2866500000.000000	1.482769
2867000000.000000	1.482629
2867500000.000000	1.482841
2868000000.000000	1.482249
2868500000.000000	1.482739
2869000000.000000	1.481625
2869500000.000000	1.481169
2870000000.000000	1.479531
2870500000.000000	1.480857
2871000000.000000	1.481567
2871500000.000000	1.481418
2872000000.000000	1.481170
2872500000.000000	1.480876
2873000000.000000	1.479697
2873500000.000000	1.480053
2874000000.000000	1.479997
2874500000.000000	1.479077
2875000000.000000	1.478120
2875500000.000000	1.478701
2876000000.000000	1.477477
2876500000.000000	1.478475
2877000000.000000	1.479419
2877500000.000000	1.478414
