Frequency	Pixel(95-95)
2770000000.000000	0.077997
2770200000.000000	0.077922
2770400000.000000	0.077767
2770600000.000000	0.077958
2770800000.000000	0.078015
2771000000.000000	0.077986
2771200000.000000	0.077955
2771400000.000000	0.077933
2771600000.000000	0.078108
2771800000.000000	0.078157
2772000000.000000	0.078001
2772200000.000000	0.077860
2772400000.000000	0.077946
2772600000.000000	0.077871
2772800000.000000	0.077993
2773000000.000000	0.078267
2773200000.000000	0.078166
2773400000.000000	0.078195
2773600000.000000	0.078004
2773800000.000000	0.077956
2774000000.000000	0.077980
2774200000.000000	0.077872
2774400000.000000	0.077922
2774600000.000000	0.077899
2774800000.000000	0.077943
2775000000.000000	0.077961
2775200000.000000	0.078022
2775400000.000000	0.077959
2775600000.000000	0.078058
2775800000.000000	0.077981
2776000000.000000	0.078087
2776200000.000000	0.078196
2776400000.000000	0.077931
2776600000.000000	0.078004
2776800000.000000	0.077967
2777000000.000000	0.078140
2777200000.000000	0.078075
2777400000.000000	0.077935
2777600000.000000	0.078029
2777800000.000000	0.078004
2778000000.000000	0.077736
2778200000.000000	0.077702
2778400000.000000	0.077781
2778600000.000000	0.077758
2778800000.000000	0.077904
2779000000.000000	0.077981
2779200000.000000	0.077832
2779400000.000000	0.077710
2779600000.000000	0.077694
2779800000.000000	0.077638
2780000000.000000	0.077442
2780200000.000000	0.077732
2780400000.000000	0.077807
2780600000.000000	0.077707
2780800000.000000	0.077763
2781000000.000000	0.077806
2781200000.000000	0.077664
2781400000.000000	0.077436
2781600000.000000	0.077500
2781800000.000000	0.077518
2782000000.000000	0.077554
2782200000.000000	0.077809
2782400000.000000	0.077677
2782600000.000000	0.077681
2782800000.000000	0.077642
2783000000.000000	0.077659
2783200000.000000	0.077809
2783400000.000000	0.077633
2783600000.000000	0.077720
2783800000.000000	0.077590
2784000000.000000	0.077643
2784200000.000000	0.077731
2784400000.000000	0.077871
2784600000.000000	0.077845
2784800000.000000	0.077700
2785000000.000000	0.077811
2785200000.000000	0.077713
2785400000.000000	0.077521
2785600000.000000	0.077787
2785800000.000000	0.077609
2786000000.000000	0.077630
2786200000.000000	0.077471
2786400000.000000	0.077377
2786600000.000000	0.077483
2786800000.000000	0.077284
2787000000.000000	0.076914
2787200000.000000	0.076763
2787400000.000000	0.076801
2787600000.000000	0.076427
2787800000.000000	0.076293
2788000000.000000	0.076234
2788200000.000000	0.075310
2788400000.000000	0.074575
2788600000.000000	0.073288
2788800000.000000	0.071247
2789000000.000000	0.069645
2789200000.000000	0.070103
2789400000.000000	0.072012
2789600000.000000	0.073389
2789800000.000000	0.074269
2790000000.000000	0.074690
2790200000.000000	0.074608
2790400000.000000	0.074451
2790600000.000000	0.073439
2790800000.000000	0.072006
