Variation,Position,Num_Files,Noise_Single,Noise_Averaged,SNR_Improvement,Num_Pairs
X,0cm-0.0mm,5,0.0005222801326151953,0.00023357077596503631,2.23606797749979,4
X,0cm-0.1mm,7,0.0005020809249954778,0.0001897687522239011,2.6457513110645907,4
X,0cm-0.2mm,5,0.0005307845859886886,0.00023737408313595802,2.23606797749979,4
X,0cm-0.3mm,5,0.00046399901352247924,0.00020750666714582154,2.23606797749979,4
X,0cm-0.4mm,5,0.0004688225927906589,0.0002096638373735232,2.23606797749979,4
Y,0cm-0.0mm,10,0.0005656157290578453,0.0001788633984239475,3.1622776601683795,4
Y,0cm-0.1mm,8,0.0006113125194797175,0.00021613161397417084,2.8284271247461903,4
Y,0cm-0.2mm,7,0.0005029553715844996,0.00019009926196809546,2.6457513110645907,4
Y,0cm-0.3mm,5,0.0005276160726285634,0.00023595708088378677,2.23606797749979,4
Y,0cm-0.4mm,4,0.0005009391308254312,0.0002504695654127156,2.0,4
Z,6.8cm-0.0mm,9,0.007746300712809356,0.0025821002376031185,3.0,4
Z,6.8cm-0.1mm,7,0.00191565353154439,0.0007240489775184404,2.6457513110645907,4
Z,6.8cm-0.2mm,7,0.0004487625330629819,0.00016961629431543586,2.6457513110645907,4
Z,6.8cm-0.3mm,10,0.0005703043269262377,0.00018034606325362053,3.1622776601683795,4
Z,6.8cm-0.4mm,6,0.00048339288584136095,0.00019734431926712892,2.449489742783178,4
Z,6.8cm-0.5mm,7,0.0006858687867803882,0.00025923403454892747,2.6457513110645907,4
