variation,run_name,D_eff_GHz,delta_hf_MHz,lorentz_fwhm_MHz,global_rms,dip_1_x1_GHz,dip_2_x1_GHz,dip_3_x1_GHz,dip_4_x1_GHz,dip_5_x1_GHz,dip_6_x1_GHz,dip_7_x1_GHz,dip_8_x1_GHz,pair_1_left_x1_GHz,pair_1_right_x1_GHz,pair_1_splitting_MHz,pair_1_center_minus_D_eff_MHz,pair_2_left_x1_GHz,pair_2_right_x1_GHz,pair_2_splitting_MHz,pair_2_center_minus_D_eff_MHz,pair_3_left_x1_GHz,pair_3_right_x1_GHz,pair_3_splitting_MHz,pair_3_center_minus_D_eff_MHz,pair_4_left_x1_GHz,pair_4_right_x1_GHz,pair_4_splitting_MHz,pair_4_center_minus_D_eff_MHz,offset_mm
Variation Along X,0cm-0.4mm,2.871575835086722,2.199619169586228,1.5333249341651245,0.000643145074598295,2.807769792246001,2.818927689148876,2.835219820107587,2.8460937795570054,2.8986283038161043,2.9087466246514406,2.923712783518038,2.933507887648723,2.807769792246001,2.933507887648723,125.73809540272185,-0.9369951393600751,2.818927689148876,2.923712783518038,104.78509436916195,-0.2555987532648629,2.835219820107587,2.9087466246514406,73.52680454385352,0.40738729279210517,2.8460937795570054,2.8986283038161043,52.53452425909888,0.7852065998328328,-0.4
Variation Along X,0cm-0.3mm,2.8715442731758465,2.2371824711220456,1.579573101274761,0.0007285963997879203,2.8085002119444917,2.8194271058175095,2.8350738731190126,2.8456665621662807,2.8990662187091027,2.908739959809738,2.9231686338118767,2.9327116200287633,2.8085002119444917,2.9327116200287633,124.21140808427155,-0.9383571892191966,2.8194271058175095,2.9231686338118767,103.7415279943672,-0.24640336115311356,2.8350738731190126,2.908739959809738,73.66608669072549,0.36264328852908534,2.8456665621662807,2.8990662187091027,53.399656542822086,0.8221172618450012,-0.3
Variation Along X,0cm-0.2mm,2.871539440445922,2.188335996872224,1.4828334750302523,0.0007191444896695236,2.809268793565025,2.819939146946853,2.834803576171867,2.8452493086049646,2.8993074244066714,2.9090241050653893,2.9226394359395838,2.932083732867021,2.809268793565025,2.932083732867021,122.81493930199572,-0.863177229899037,2.819939146946853,2.9226394359395838,102.70028899273065,-0.25014900270337037,2.834803576171867,2.9090241050653893,74.22052889352227,0.3744001727064017,2.8452493086049646,2.8993074244066714,54.05811580170683,0.7389260598964498,-0.2
Variation Along X,0cm-0.1mm,2.8714887575458405,2.1929506979576425,1.5045345140849866,0.0005498630220529684,2.8099673061567714,2.8204116833971913,2.834684609860815,2.844775145116831,2.899702352365852,2.908968411569067,2.922067015385335,2.931333536514859,2.8099673061567714,2.931333536514859,121.3662303580878,-0.838336210025048,2.8204116833971913,2.922067015385335,101.6553319881437,-0.24940815457741294,2.834684609860815,2.908968411569067,74.2838017082521,0.33775316910045206,2.844775145116831,2.899702352365852,54.92720724902122,0.7499911955006766,-0.1
Variation Along X,0cm-0.0mm,2.8714525289159925,2.2187326941854466,1.5462077046164273,0.0007252241135715111,2.810708892569604,2.8208853631008446,2.834466860439515,2.8443763128859003,2.8999178375576484,2.9091256598107607,2.92159434613265,2.9305449588310166,2.810708892569604,2.9305449588310166,119.83606626141264,-0.8256032156821469,2.8208853631008446,2.92159434613265,100.7089830318053,-0.21267429924520798,2.834466860439515,2.9091256598107607,74.65879937124554,0.343731209145659,2.8443763128859003,2.8999178375576484,55.54152467174811,0.6945463057821399,-0.0
Variation Along Y,0cm-0.4mm,2.8711871078899267,2.203940380627898,1.6152564603279316,0.0008675541871032843,2.8110795202871643,2.8191011722706807,2.8355034572638393,2.843311139690267,2.9009814346764546,2.908082300981982,2.9231885025766493,2.9282493353723766,2.8110795202871643,2.9282493353723766,117.16981508521229,-1.5226800601562118,2.8191011722706807,2.9231885025766493,104.08733030596862,-0.042270466261928874,2.8355034572638393,2.908082300981982,72.5788437181425,0.6057712329838871,2.843311139690267,2.9009814346764546,57.67029498618781,0.9591792934338095,-0.4
Variation Along Y,0cm-0.3mm,2.876449673537389,2.310143435485243,2.0198162996298668,0.0011270528417308462,2.8108955935203457,2.8195499358655565,2.8352742678690963,2.843645746706612,2.9029967115748767,2.922841392698627,2.9304146153658768,2.94597912469812,2.8108955935203457,2.94597912469812,135.0835311777745,1.9876855718439224,2.8195499358655565,2.9304146153658768,110.8646795003203,-1.4673979216723865,2.8352742678690963,2.922841392698627,87.56712482953066,2.608156746472634,2.843645746706612,2.9029967115748767,59.35096486826463,-3.128444396644614,-0.3
Variation Along Y,0cm-0.2mm,2.871445297276594,2.184808060724584,1.5485037386414529,0.0006303768743396083,2.810847040944955,2.819997975037823,2.834999217750475,2.843830662895532,2.9004761479473204,2.908595385927802,2.9224616132614027,2.9303543344474416,2.810847040944955,2.9303543344474416,119.50729350248679,-0.8446095803957832,2.819997975037823,2.9224616132614027,102.46363822357995,-0.21550312698126461,2.834999217750475,2.908595385927802,73.5961681773274,0.3520045625444723,2.843830662895532,2.9004761479473204,56.64548505178857,0.7081081448321314,-0.2
Variation Along Y,0cm-0.1mm,2.875007973608211,2.2074423466096387,1.6146731897175417,0.0008478482906050533,2.810716697292584,2.8204589425163684,2.83480776653053,2.8441070016317105,2.9001954113018273,2.908800751883747,2.9220496043144393,2.958927613394481,2.810716697292584,2.958927613394481,148.21091610189717,9.814181735321448,2.8204589425163684,2.9220496043144393,101.59066179807085,-3.7537001928074076,2.83480776653053,2.908800751883747,73.9929853532173,-3.203714401072588,2.8441070016317105,2.9001954113018273,56.08840967011686,-2.85676714144234,-0.1
Variation Along Y,0cm-0.0mm,2.8714718400583332,2.226984982441109,1.5698672081164222,0.0005797678098404873,2.810718474974199,2.8208904548163107,2.834492983647766,2.8444111669477,2.8999425727138917,2.909127241710297,2.921623268939018,2.9305685567174846,2.810718474974199,2.9305685567174846,119.85008174328549,-0.8283242124913492,2.8208904548163107,2.921623268939018,100.7328141227073,-0.2149781806690676,2.834492983647766,2.909127241710297,74.63425806253099,0.33827262069818786,2.8444111669477,2.8999425727138917,55.53140576619153,0.7050297724626731,-0.0
