rank,candidate_idx,perm,signs,alpha_deg,beta_deg,gamma_deg,chi2,chi2_data_only,rms_MHz_per_mm,surface_cosine_abs,success
1,301,"(3, 0, 1, 2)","(1, 1, -1, 1)",2.968548464338154e-09,89.83846015128702,30.000000002873808,3.1593488788724856e-09,9.079375417737423e-22,3.980321157041057e-15,0.9999960254881565,True
2,290,"(3, 0, 1, 2)","(-1, -1, 1, -1)",3.850028184233489e-09,89.83846015099513,30.000000002842604,3.159348901640585e-09,1.8634506382272887e-23,4.7623262199374884e-15,0.9999960254881421,True
3,318,"(3, 0, 2, 1)","(1, 1, 1, -1)",-1.0757764559646154e-09,89.83846015020877,-1.1066929267852073e-10,3.159348963064346e-09,4.632275447655067e-22,3.036414304697331e-15,0.9999960254881035,True
4,14,"(0, 1, 2, 3)","(1, 1, 1, -1)",29.999999999250015,89.83846015005516,1.3934756193475536e-09,3.1593489752457756e-09,3.1313419897948143e-21,5.353685293611317e-15,0.9999960254880959,True
5,343,"(3, 1, 2, 0)","(-1, 1, 1, 1)",3.9431673336887683e-10,89.83846014889029,30.00000000915205,3.1593490663187643e-09,1.6679856215551814e-22,4.0943002132167226e-15,0.9999960254880386,True
6,344,"(3, 1, 2, 0)","(1, -1, -1, -1)",3.9431673336887683e-10,89.83846014889029,30.00000000915205,3.1593490663187643e-09,1.6679856215551814e-22,4.0943002132167226e-15,0.9999960254880386,True
7,208,"(2, 0, 3, 1)","(-1, -1, -1, -1)",4.135396082740031e-10,89.83846014886556,9.317316619916727e-11,3.159349068260306e-09,1.6675877361777206e-22,2.6645352591003757e-15,0.9999960254880373,True
8,128,"(1, 2, 0, 3)","(-1, -1, -1, -1)",-9.982208664260423e-11,89.838460148481,-1.1427231211232043e-10,3.159349098265857e-09,7.411648927599898e-23,4.457514335395259e-15,0.9999960254880185,True
9,183,"(1, 3, 2, 0)","(-1, 1, 1, 1)",-1.3353780016194873e-09,89.83846014798054,29.999999997043254,3.159349137451867e-09,2.2419548106003587e-21,7.26666201520557e-15,0.9999960254879938,True
10,184,"(1, 3, 2, 0)","(1, -1, -1, -1)",-2.4698086163996917e-09,89.83846014635975,29.99999999527486,3.159349264179643e-09,2.9647164957762006e-22,4.366249940491396e-15,0.9999960254879141,True
11,88,"(0, 3, 2, 1)","(1, -1, -1, -1)",7.0767932954524105e-09,89.83846014504817,7.296942600013084e-09,3.1593493669045737e-09,1.8543732757271866e-23,4.120308734117367e-15,0.9999960254878495,True
12,125,"(1, 0, 3, 2)","(1, 1, -1, 1)",4.786477998725328e-09,89.83846014238691,3.0886099288429497e-09,3.159349575004035e-09,1.5008143959615887e-21,3.770401954191398e-15,0.9999960254877186,True
13,369,"(3, 2, 1, 0)","(-1, -1, -1, 1)",1.219831322617134e-09,89.83846014215091,1.1865016932147968e-09,3.1593495935390653e-09,3.631601292679995e-21,7.489412345548371e-15,0.9999960254877069,True
