rank,phi_deg,chi2,rms_MHz_per_mm,pair_1,pair_2,pair_3,pair_4,signs
1,112.75,1024.8343518202312,3.7027798150521543,d2,d3,d1,d4,"(-1, -1, -1, -1)"
2,112.75,1024.8343518202312,3.7027798150521543,d2,d3,d1,d4,"(1, 1, 1, 1)"
3,22.75,1024.8343518202312,3.702779815052155,d3,d1,d4,d2,"(-1, -1, -1, -1)"
4,22.75,1024.8343518202312,3.702779815052155,d3,d1,d4,d2,"(1, 1, 1, 1)"
5,23.0,1024.8560036640786,3.7010950885172615,d3,d1,d4,d2,"(-1, -1, -1, -1)"
6,23.0,1024.8560036640786,3.7010950885172615,d3,d1,d4,d2,"(1, 1, 1, 1)"
7,113.0,1024.8560036640808,3.701095088517261,d2,d3,d1,d4,"(-1, -1, -1, -1)"
8,113.0,1024.8560036640808,3.701095088517261,d2,d3,d1,d4,"(1, 1, 1, 1)"
9,22.5,1024.891398906903,3.7044721655541943,d3,d1,d4,d2,"(-1, -1, -1, -1)"
10,22.5,1024.891398906903,3.7044721655541943,d3,d1,d4,d2,"(1, 1, 1, 1)"
