rank,chi2,chi2_data_only,rms_MHz_per_mm,surface_cosine_abs,pair_1,pair_2,pair_3,pair_4,signs,alpha_deg,beta_deg,gamma_deg
1,3.1593488788724856e-09,9.079375417737423e-22,3.980321157041057e-15,0.9999960254881565,d4,d1,d2,d3,"(1, 1, -1, 1)",2.968548464338154e-09,89.83846015128702,30.000000002873808
2,3.159348901640585e-09,1.8634506382272887e-23,4.7623262199374884e-15,0.9999960254881421,d4,d1,d2,d3,"(-1, -1, 1, -1)",3.850028184233489e-09,89.83846015099513,30.000000002842604
3,3.159348963064346e-09,4.632275447655067e-22,3.036414304697331e-15,0.9999960254881035,d4,d1,d3,d2,"(1, 1, 1, -1)",-1.0757764559646154e-09,89.83846015020877,-1.1066929267852073e-10
4,3.1593489752457756e-09,3.1313419897948143e-21,5.353685293611317e-15,0.9999960254880959,d1,d2,d3,d4,"(1, 1, 1, -1)",29.999999999250015,89.83846015005516,1.3934756193475536e-09
5,3.1593490663187643e-09,1.6679856215551814e-22,4.0943002132167226e-15,0.9999960254880386,d4,d2,d3,d1,"(-1, 1, 1, 1)",3.9431673336887683e-10,89.83846014889029,30.00000000915205
6,3.1593490663187643e-09,1.6679856215551814e-22,4.0943002132167226e-15,0.9999960254880386,d4,d2,d3,d1,"(1, -1, -1, -1)",3.9431673336887683e-10,89.83846014889029,30.00000000915205
7,3.159349068260306e-09,1.6675877361777206e-22,2.6645352591003757e-15,0.9999960254880373,d3,d1,d4,d2,"(-1, -1, -1, -1)",4.135396082740031e-10,89.83846014886556,9.317316619916727e-11
8,3.159349098265857e-09,7.411648927599898e-23,4.457514335395259e-15,0.9999960254880185,d2,d3,d1,d4,"(-1, -1, -1, -1)",-9.982208664260423e-11,89.838460148481,-1.1427231211232043e-10
9,3.159349137451867e-09,2.2419548106003587e-21,7.26666201520557e-15,0.9999960254879938,d2,d4,d3,d1,"(-1, 1, 1, 1)",-1.3353780016194873e-09,89.83846014798054,29.999999997043254
10,3.159349264179643e-09,2.9647164957762006e-22,4.366249940491396e-15,0.9999960254879141,d2,d4,d3,d1,"(1, -1, -1, -1)",-2.4698086163996917e-09,89.83846014635975,29.99999999527486
