variation,lab_axis,nv_axis,n_points,offset_min_mm,offset_max_mm,slope_MHz_per_mm,intercept_MHz,r_value,r_squared,p_value,slope_stderr,intercept_stderr
Variation Along X,x,d1,5,-0.4,0.0,-4.326350391659161,-0.00936129803594643,-0.9997346631586147,0.9994693967208688,5.188154538970109e-06,0.05755211352500343,0.01409733117549889
Variation Along Y,y,d1,5,-0.4,0.0,2.661309439964952,-0.01776148534290789,0.996807297899002,0.9936247891447098,0.00021645287536918164,0.12307527500050247,0.03014716237039497
Variation Along Z,z,d1,6,-0.5,0.0,2.6628522236387657,-0.0616323333706531,0.996445157575706,0.9929029520560735,1.8932895889939827e-05,0.1125647830450704,0.03408068052453147
Variation Along X,x,d2,5,-0.4,0.0,4.899925483619426,0.01281967813420104,0.9998485576523016,0.9996971382393879,2.2371494208279746e-06,0.049239864030900755,0.012061254187972974
Variation Along Y,y,d2,5,-0.4,0.0,4.487571742072304,0.006755633451484555,0.9999601157022648,0.9999202329952869,3.023668555718244e-07,0.02314087313173134,0.005668333137522276
Variation Along Z,z,d2,6,-0.5,0.0,3.734428116841628,0.09215896459121131,0.9961295750551326,0.9922741302995189,2.244129403169479e-05,0.16476006846269098,0.049883587962219325
Variation Along X,x,d3,5,-0.4,0.0,7.3452948594854215,0.003165698672000783,0.9999198230734893,0.999839652575318,8.617925598807654e-07,0.0537049631865876,0.01315497564620945
Variation Along Y,y,d3,5,-0.4,0.0,-0.9009868536927569,-0.047206941088097615,-0.9506493116770797,0.9037341137921053,0.013062683382054553,0.16977498290233306,0.04158620792004542
Variation Along Z,z,d3,6,-0.5,0.0,-0.6100883168961186,2.122584622878115,-0.0826814142108209,0.006836216255901336,0.8762604926977131,3.6767597570631705,1.1131942980403715
Variation Along X,x,d4,5,-0.4,0.0,-1.895182594341804,0.0038509813758538236,-0.9944516285171444,0.9889340414604006,0.0004957016674723679,0.11574474642528607,0.028351556914977812
Variation Along Y,y,d4,5,-0.4,0.0,-2.4874485707136955,0.025065250432635355,-0.9977733230278775,0.9955516041460931,0.0001260882380382451,0.09599824826557224,0.02351467244516722
Variation Along Z,z,d4,6,-0.5,0.0,-0.0904803189359882,1.4180731364892079,-0.01841115643565315,0.0003389706812980924,0.9723863857676406,2.4567979438100247,0.743832516452241
