variation,lab_axis,pair_id,full_slope_MHz_per_mm,full_r2,full_n_points,local_slope_MHz_per_mm,local_r2,local_n_points
Variation Along X,x,1,-14.649236008802147,0.9997639731908781,5,-14.894365202915408,0.9997508254665776,3
Variation Along Y,y,1,18.487918240269096,0.04783866682119721,5,1.7139412039934094,0.00010824172289138016,3
Variation Along Z,z,1,-4.474248767506964,0.2080735393331997,6,14.672141222120699,0.49478190328351995,3
Variation Along X,x,2,-10.238418680936801,0.9996478387374366,5,-9.956529804626653,0.9991832810320768,3
Variation Along Y,y,2,-15.983050068772112,0.3873058615359985,5,-8.654120504363332,0.9999745335787662,3
Variation Along Z,z,2,-8.639639834850296,0.9982990155585006,6,-7.972241642286803,0.9954627435794793,3
Variation Along X,x,3,2.8817046723106468,0.9509505720294045,5,2.191352388616323,0.8557021732462465,3
Variation Along Y,y,3,-9.463310787536354,0.05738756673387448,5,5.190449426017948,0.98185094021432,3
Variation Along Z,z,3,-5.030490370236151,0.46878380614795007,6,6.59668665649036,0.36217839931040646,3
Variation Along X,x,4,7.541551531497588,0.9969480599914864,5,7.417044350206367,0.9902631625228377,3
Variation Along Y,y,4,-7.540333638140331,0.6266329685217574,5,-5.57039642798518,0.9999999986278922,3
Variation Along Z,z,4,-7.172519033059698,0.9839557276163856,6,-9.228807339085561,0.9715824132567503,3
