variation,lab_axis,pair_id,n_points,offset_min_mm,offset_max_mm,slope_MHz_per_mm,intercept_MHz,r_value,r_squared,p_value,slope_stderr,intercept_stderr
Variation Along X,x,1,5,-0.4,-0.0,-14.649236008802147,119.8635006799375,-0.9998819796310353,0.9997639731908781,1.5390815107923532e-06,0.1299529894977321,0.03183185148187048
Variation Along Y,y,1,5,-0.4,-0.0,18.487918240269096,131.66191117018505,0.21872052217658317,0.04783866682119721,0.7237529744938335,47.62040898055799,11.664570334501674
Variation Along Z,z,1,6,-0.5,-0.0,-4.474248767506964,122.47225366215835,-0.45615078574217066,0.2080735393331997,0.36323027561624055,4.3643958217298895,1.321386455508211
Variation Along X,x,2,5,-0.4,-0.0,-10.238418680936801,100.6705615390544,-0.9998239038637937,0.9996478387374366,2.8050921060226217e-06,0.11094801416943624,0.027176602269019676
Variation Along Y,y,2,5,-0.4,-0.0,-15.983050068772112,100.75121477637498,-0.6223390245967213,0.3873058615359985,0.2622456016200611,11.606301829587558,2.8429517283220354
Variation Along Z,z,2,6,-0.5,-0.0,-8.639639834850296,100.72465914317111,-0.9991491458028179,0.9982990155585006,1.0856213081268197e-06,0.1783140202719115,0.05398725066168002
Variation Along X,x,3,5,-0.4,-0.0,2.8817046723106468,74.6475451759819,0.9751669457223232,0.9509505720294045,0.0046800953040334785,0.37785645410690594,0.09255555085792887
Variation Along Y,y,3,5,-0.4,-0.0,-9.463310787536354,74.58121387064249,-0.2395570218838815,0.05738756673387448,0.6979294990164353,22.143188255403192,5.423951250412705
Variation Along Z,z,3,6,-0.5,-0.0,-5.030490370236151,76.03861608407152,-0.6846778849560938,0.46878380614795007,0.1334661250133823,2.677501228692807,0.8106537543148244
Variation Along X,x,4,5,-0.4,-0.0,7.541551531497588,55.60051601117895,0.998472863923445,0.9969480599914864,7.162274369628103e-05,0.24090832360556763,0.05901024676229285
Variation Along Y,y,4,5,-0.4,-0.0,-7.540333638140331,55.54924534088182,-0.7916015212982839,0.6266329685217574,0.11056330127953405,3.3604024949941533,0.8231271443111178
Variation Along Z,z,4,6,-0.5,-0.0,-7.172519033059698,55.081392181526255,-0.9919454257248156,0.9839557276163856,9.70529751797872e-05,0.45794566034658823,0.13864993407057574
