pixel,row,col,x_um,y_um,OFF_start_s,OFF_end_s,OFF_first_frame,OFF_last_frame,POS_time_requested_s,NEG_time_requested_s,POS_time_actual_s,NEG_time_actual_s,POS_frame,NEG_frame,dV_pos_d1_V,dV_neg_d1_V,deltaNu_pos_d1_MHz,deltaNu_neg_d1_MHz,dV_pos_d2_V,dV_neg_d2_V,deltaNu_pos_d2_MHz,deltaNu_neg_d2_MHz,dV_pos_d3_V,dV_neg_d3_V,deltaNu_pos_d3_MHz,deltaNu_neg_d3_MHz,dV_pos_d4_V,dV_neg_d4_V,deltaNu_pos_d4_MHz,deltaNu_neg_d4_MHz,Bx_pos_nT,Bx_neg_nT,Bx_odd_nT,Bx_even_nT,By_pos_nT,By_neg_nT,By_odd_nT,By_even_nT,Bz_pos_nT,Bz_neg_nT,Bz_odd_nT,Bz_even_nT
930,0,0,-100.0,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.00021184394949628376,-0.00019077397366304316,-0.0353190979486474,0.03180626436525108,-4.000736775613587e-05,-3.420139703900226e-05,0.005834103938192423,0.004987443972149941,0.00010277942076499029,-4.1439640826080454e-05,-0.0386949898000728,0.015601435259596882,-3.3803125758376194e-05,9.618948956998166e-06,0.017514572931792968,-0.004983911376680664,689.402828280147,-847.2086057337606,768.3057170069537,-78.9028887268068,545.4285933611905,-322.4671168052195,433.947855083205,111.48073827798547,1438.7989154627307,-707.985915484914,1073.3924154738224,365.40649998890837
929,0,1,-93.33333333333333,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.0001858594666306685,-0.00014583012885038122,-0.030986906740648253,0.024313125850312933,-6.031008676928323e-05,-3.691169943192342e-05,0.008794762926622146,0.00538267581945908,8.352024796572762e-05,-3.236334824189275e-05,-0.031444185218002636,0.012184340219037448,-2.5383581109428485e-05,-2.835902553226288e-06,0.013152114564464584,0.0014693795612564589,521.7069013042824,-684.8013976292985,603.2541494667905,-81.54724816250808,460.048291508384,-375.17283949665733,417.61056550252067,42.43772600586334,1252.9436290219692,-442.099770851935,847.521699936952,405.4219290850171
868,0,2,-86.66666666666667,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.000302437237655109,-0.00026087655677467346,-0.050423013947096605,0.0434939241037526,-5.376307497597999e-05,-2.4280692852506523e-05,0.00784004009857894,0.00354074996026509,0.00011023971210830516,-3.717175604250345e-05,-0.04150368336232988,0.013994637352591635,-3.3499885262727096e-05,1.8542369384271488e-05,0.017357453503995583,-0.009607445276820125,992.1019825935656,-1080.7500493905493,1036.4260159920575,-44.32403339849185,637.0422409006248,-200.9897369848796,419.01598894275224,218.0262519578726,1743.0180413589749,-959.3219896362534,1351.1700154976143,391.8480258613607
867,0,3,-80.0,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.00030745901950833223,-0.0002685807169327591,-0.051260256670207005,0.04477837894837996,-6.07064189527232e-05,-1.1874744709288738e-05,0.008852558359861687,0.0017316434136776199,0.00011118893583956103,-5.305161968392045e-05,-0.041861052593694964,0.019973180110058553,-2.495746751614125e-05,4.847516794761644e-07,0.01293133031923814,-0.000251166673303595,990.0798674857714,-1074.9256657289366,1032.502766607354,-42.42289912158259,742.97703205379,-544.4011707189026,643.6891013863462,99.28793066744373,1711.7265869181147,-952.7964498546194,1332.261518386367,379.46506853174765
806,0,4,-73.33333333333333,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.00038948663730962383,-0.0003766500867672485,-0.06493608491315078,0.06279594644326793,-4.367064201103307e-05,1.776380412527093e-05,0.006368303610798898,-0.0025904198505693355,0.00013017574308412636,-8.413149975522829e-05,-0.0490093154190354,0.03167431282121308,-1.479358849524666e-05,2.5914358730155708e-05,0.007665071759191586,-0.013427128875722085,1364.5792406568573,-1391.6493720381266,1378.114306347492,-13.53506569063461,1058.5388800784797,-539.9101689030168,799.2245244907483,259.3143555877314,1907.5589276205308,-1659.1272753890896,1783.3431015048102,124.21582611572057
805,0,5,-66.66666666666666,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.00041210301313287227,-0.00040567796005349293,-0.06870673776797184,0.06763553852166135,-6.156711048542168e-05,3.443198410439595e-06,0.00897806933801683,-0.0005021069501190233,0.00016027901751955784,-0.00010612464320252943,-0.060342770001264326,0.03995441845939099,-1.8812607846497693e-05,1.0116938050988744e-05,0.009747465205434673,-0.005241936813981361,1396.2804164008842,-1555.801255056287,1476.0408357285855,-79.76041932770136,1270.9324306342808,-928.1498857723551,1099.541158203318,171.39127243096283,2195.5401700853495,-1695.812430163893,1945.6763001246213,249.86386996072827
744,0,6,-60.0,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.0005364107088175466,-0.0006033589838917663,-0.08943159533457742,0.10059336176907657,-4.395201055940344e-05,2.0413519112651278e-05,0.006409334387083332,-0.002976816494737266,0.00020299619533311477,-0.00016880564415623102,-0.07642517976267954,0.06355292363201415,-2.76723117785574e-05,3.704247969524567e-05,0.014337985377484196,-0.019192994660740103,1934.952546303195,-2261.6871753035803,2098.3198608033877,-163.3673145001926,1584.3209020428412,-1213.2368446589733,1398.7788733509074,185.54202869193398,2769.4744812809217,-2782.7758302794523,2776.125155780187,-6.650674499265278
743,0,7,-53.33333333333333,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.0005488352481010892,-0.0006336728303751166,-0.09150304236417481,0.10564735418043167,-4.4945343689659764e-05,1.2871831847023004e-05,0.006554187924124059,-0.0018770443816301873,0.0002340219445672919,-0.00018994945624863812,-0.088105932983708,0.07151326809747974,-3.251218808405803e-05,3.9684792686423725e-05,0.016845693307794233,-0.020562068749432755,1983.1896878221155,-2405.2788475942402,2194.234267708178,-211.04457988606237,1799.005778221763,-1377.8264814682127,1588.4161298449878,210.58964837677513,3003.099004528732,-2974.9506427433485,2989.0248236360403,14.074180892691857
682,0,8,-46.666666666666664,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.00044370153023780935,-0.0005476648508840519,-0.07397491334397932,0.09130791111758668,-9.11306929282167e-06,1.5287979314586637e-05,0.00132892005728413,-0.0022293808697912898,0.00021649586112759193,-0.00023030391327852283,-0.08150761189095652,0.08670614709540032,-1.9626876594443617e-05,4.552209597527168e-05,0.010169366111105941,-0.02358657822551837,1698.0351904374454,-2073.407256502475,1885.72122346996,-187.68603303251473,1778.3256640748978,-1628.3694737921912,1703.3475689335446,74.97809514135326,2456.8205698003744,-3011.8374664562275,2734.329018128301,-277.50844832792654
681,0,9,-40.0,-100.0,0.0,0.05,0,129,0.0627,0.0571,0.06259680000000001,0.0571872,162,148,0.0005046281753241002,-0.0006431806160712037,-0.08413274013394356,0.10723251351622257,-1.8973709359669497e-05,2.214427582096076e-05,0.002766855174579417,-0.0032292053694452927,0.00024560624847786555,-0.0002367503825702186,-0.09246725861022174,0.08913315107763739,-3.3753195694869645e-05,3.7042113683784556e-05,0.01748870243256679,-0.019192805017496,1900.9105612134501,-2418.822489840731,2159.8665255270907,-258.9559643136405,1880.9426680525453,-1810.646671549686,1845.7946698011156,35.14799825142961,2898.1612260343786,-3245.1911867705853,3071.676206402482,-173.51498036810335
